Period and Financial year,Reporting Period,Days in period,Period beginning,Period ending,Bus journeys (m),Underground journeys (m),DLR Journeys (m),Tram Journeys (m),Overground Journeys (m),London Cable Car Journeys (m),TfL Rail Journeys (m)
01_10/11,1,31,2010-04-01 00:00:00,2010-05-01 00:00:00,189.11466062876525,90.54539075550682,6.291,2.2877845000000003,,,
02_10/11,2,28,2010-05-02 00:00:00,2010-05-29 00:00:00,181.60479230115808,84.5175036089329,5.813,2.1547905000000003,,,
03_10/11,3,28,2010-05-30 00:00:00,2010-06-26 00:00:00,175.88317330257928,84.2860141192329,5.752,2.1291215,,,
04_10/11,4,28,2010-06-27 00:00:00,2010-07-24 00:00:00,183.42805158039036,86.4796124958329,6.06448,2.1419405,,,
05_10/11,5,28,2010-07-25 00:00:00,2010-08-21 00:00:00,160.42276723448677,82.89528684892484,5.767624,2.0084825,,,
06_10/11,6,28,2010-08-22 00:00:00,2010-09-18 00:00:00,175.80733579379933,80.85570230222483,5.52,2.0267475,,,
07_10/11,7,28,2010-09-19 00:00:00,2010-10-16 00:00:00,189.79790711605852,88.67451985802485,6.311515,2.2727365,,,
08_10/11,8,28,2010-10-17 00:00:00,2010-11-13 00:00:00,179.88091455025136,90.28282406017495,6.74197,2.2050475,5.634584967932794,,
09_10/11,9,28,2010-11-14 00:00:00,2010-12-11 00:00:00,178.8450950603816,90.59212667869977,6.437513,2.294527,5.437621108036531,,
10_10/11,10,28,2010-12-12 00:00:00,2011-01-08 00:00:00,140.05189900962444,72.52297906839979,4.847,1.8491465,3.4826516457196535,,
11_10/11,11,28,2011-01-09 00:00:00,2011-02-05 00:00:00,183.0263399277974,84.43794175629978,6.253352442311565,2.140724,5.243922840707245,,
12_10/11,12,28,2011-02-06 00:00:00,2011-03-05 00:00:00,177.1822043461187,87.7782323708499,6.478,2.2221135,5.154636956860625,,
13_10/11,13,26,2011-03-06 00:00:00,2011-03-31 00:00:00,173.94124841290582,83.47486002117213,6.039,2.1290839999999998,5.840221006401367,,
01_11/12,1,30,2011-04-01 00:00:00,2011-04-30 00:00:00,183.78906949158863,91.22177177636138,6.415,2.1125390000000004,6.25582668800514,,
02_11/12,2,28,2011-05-01 00:00:00,2011-05-28 00:00:00,186.14311976446197,87.77794338479978,6.325,2.243446,6.4354341690593975,,
03_11/12,3,28,2011-05-29 00:00:00,2011-06-25 00:00:00,181.65021261224413,88.9034568187998,6.085939000000001,2.2077620000000002,6.939514057947365,,
04_11/12,4,28,2011-06-26 00:00:00,2011-07-23 00:00:00,186.66898985606852,92.49330154359978,6.413,2.282373,7.583551011201393,,
05_11/12,5,28,2011-07-24 00:00:00,2011-08-20 00:00:00,161.06507956590673,85.53900919629979,6.172,1.925193,7.652665925485028,,
06_11/12,6,28,2011-08-21 00:00:00,2011-09-17 00:00:00,173.8997620035556,85.2846178048998,6.434,2.149924,7.681396324129276,,
07_11/12,7,28,2011-09-18 00:00:00,2011-10-15 00:00:00,193.40866289813192,93.13557313279978,7.451,2.364217,8.698969452375337,,
08_11/12,8,28,2011-10-16 00:00:00,2011-11-12 00:00:00,185.15859648287994,95.84763471228736,7.284,2.308021,8.802090146581804,,
09_11/12,9,28,2011-11-13 00:00:00,2011-12-10 00:00:00,189.44254090088643,97.08867289278736,7.105,2.396722,9.017742087497398,,
10_11/12,10,28,2011-12-11 00:00:00,2012-01-07 00:00:00,151.1920285768886,79.26297107098736,5.238,1.9269100000000001,6.8823654762328985,,
11_11/12,11,28,2012-01-08 00:00:00,2012-02-04 00:00:00,181.37925216525147,89.80748698306995,6.898,2.249438,8.701779663563642,,
12_11/12,12,28,2012-02-05 00:00:00,2012-03-03 00:00:00,179.49571336365904,91.45527621199,7.009,2.028529,8.816425055001389,,
13_11/12,13,28,2012-03-04 00:00:00,2012-03-31 00:00:00,191.18034529642904,92.69410953978996,7.285489999999999,2.347108,9.09856890815682,,
01_12/13,1,28,2012-04-01 00:00:00,2012-04-28 00:00:00,171.84781227072017,88.66567538274928,6.973631999999999,2.148610908250988,8.530067296542477,,
02_12/13,2,28,2012-04-29 00:00:00,2012-05-26 00:00:00,189.21196563954152,92.6065342823223,7.357288,2.3384050436676547,8.8701313876334,,
03_12/13,3,28,2012-05-27 00:00:00,2012-06-23 00:00:00,176.53809879779436,89.6855642798874,6.955807,2.1771432850207044,8.56823041180855,,
04_12/13,4,28,2012-06-24 00:00:00,2012-07-21 00:00:00,189.91105915904848,96.91161193577719,7.923954,2.4891214536561264,8.87185121838183,0.236025,
05_12/13,5,28,2012-07-22 00:00:00,2012-08-18 00:00:00,167.1383354815164,102.99249114999833,10.636562,2.328187674788255,10.506405621898764,0.534218,
06_12/13,6,28,2012-08-19 00:00:00,2012-09-15 00:00:00,177.04731228151238,93.96062143421112,8.667859,2.3500599611330704,9.825229929151483,0.381347,
07_12/13,7,28,2012-09-16 00:00:00,2012-10-13 00:00:00,194.21510594612914,98.17491386308446,7.705303,2.497070196019198,9.666574601313737,0.163217,
08_12/13,8,28,2012-10-14 00:00:00,2012-11-10 00:00:00,184.6723651431976,100.4284137225334,7.964772,2.172291100027771,9.8478062666723,0.18107499999999999,
09_12/13,9,28,2012-11-11 00:00:00,2012-12-08 00:00:00,187.60380104591584,101.90992121126496,7.677249,2.4633863998692167,9.991859873755164,0.119806,
10_12/13,10,28,2012-12-09 00:00:00,2013-01-05 00:00:00,151.93632685127747,78.98283756440323,5.744542,2.0388575725414078,8.214637796103894,0.11048999999999999,
11_12/13,11,28,2013-01-06 00:00:00,2013-02-02 00:00:00,178.12219441540103,91.72007792703191,7.250798,2.3129699464756257,10.186132183070503,0.072604,
12_12/13,12,28,2013-02-03 00:00:00,2013-03-02 00:00:00,180.25179543246438,96.67883842163671,7.573856,2.357240794885187,10.737866755311922,0.11707,
13_12/13,13,29,2013-03-03 00:00:00,2013-03-31 00:00:00,186.50406416809938,96.61151882509978,7.601268,2.3955835428265577,10.767402160723949,0.07153100000000001,
01_13/14,1,27,2013-04-01 00:00:00,2013-04-27 00:00:00,171.63459596894498,92.10754740637857,7.635204,2.2857799002205046,10.274843539382223,0.138309,
02_13/14,2,28,2013-04-28 00:00:00,2013-05-25 00:00:00,188.7783616140428,97.16726104772084,7.897412999999999,2.471114322339766,10.337911625120181,0.12871700000000003,
03_13/14,3,28,2013-05-26 00:00:00,2013-06-22 00:00:00,183.4989080066466,95.8611408410305,7.675261000000001,2.3846619626764545,10.903880078233216,0.14162799999999998,
04_13/14,4,28,2013-06-23 00:00:00,2013-07-20 00:00:00,190.1784043160525,100.83284723168128,8.011265999999999,2.520668741400256,11.320335960666194,0.15172300000000002,
05_13/14,5,28,2013-07-21 00:00:00,2013-08-17 00:00:00,166.32365411088884,94.09931684832843,7.533787,2.2413175666760776,10.571593147746832,0.19481700000000002,
06_13/14,6,28,2013-08-18 00:00:00,2013-09-14 00:00:00,173.67930925347622,90.96375810344077,7.193314999999999,2.0359541838315858,10.357871569991572,0.16813499999999998,
07_13/14,7,28,2013-09-15 00:00:00,2013-10-12 00:00:00,194.5059852673313,101.44748433074207,7.933893,2.5901099065382085,11.218359254322237,0.104226,
08_13/14,8,28,2013-10-13 00:00:00,2013-11-09 00:00:00,186.34855967615462,103.72531264625455,8.247655,2.444683228215698,9.589018149734997,0.099083,
09_13/14,9,28,2013-11-10 00:00:00,2013-12-07 00:00:00,193.21919107683505,106.33803884504731,8.227135,2.5685970623661083,10.628702733627767,0.076424,
10_13/14,10,28,2013-12-08 00:00:00,2014-01-04 00:00:00,155.13040776317908,83.90747525191628,6.452387,2.0338513292645763,8.142000785991394,0.068595,
11_13/14,11,28,2014-01-05 00:00:00,2014-02-01 00:00:00,186.64787881663273,96.81866575526008,7.775382,2.4479114087756444,10.307135018403383,0.067098,
12_13/14,12,28,2014-02-02 00:00:00,2014-03-01 00:00:00,185.62878360124566,94.30084281729687,8.276009,2.4335603786596556,10.807977223967509,0.084601,
13_13/14,13,30,2014-03-02 00:00:00,2014-03-31 00:00:00,206.8533317052123,107.02540685159796,8.276009,2.7658711086627146,11.257951600501196,0.089491,
01_14/15,1,26,2014-04-01 00:00:00,2014-04-26 00:00:00,164.11289843337326,88.79575396394627,7.561717,2.242393829152731,9.721181807492279,0.144542,2.854854521008183
02_14/15,2,28,2014-04-27 00:00:00,2014-05-24 00:00:00,192.76523619591478,92.1955074363389,8.326196,2.3581071515122556,10.535275594217445,0.107946,
03_14/15,3,28,2014-05-25 00:00:00,2014-06-21 00:00:00,188.0825198025202,98.21307747001296,8.279264999999999,2.2882411277428756,10.49466895658718,0.133305,
04_14/15,4,28,2014-06-22 00:00:00,2014-07-19 00:00:00,191.1015714930634,102.61740371024175,8.252254,2.4724384525188206,10.775637296115617,0.124303,
05_14/15,5,28,2014-07-20 00:00:00,2014-08-16 00:00:00,169.24465879437892,97.27515757932284,8.154088,1.9660436184308763,10.646182265702173,0.178233,
06_14/15,6,28,2014-08-17 00:00:00,2014-09-13 00:00:00,176.50212540110311,93.17249178276204,8.154088,2.257142925577321,10.819555543186581,0.170343,
07_14/15,7,28,2014-09-14 00:00:00,2014-10-11 00:00:00,198.75981341948605,104.09806056708622,8.69208,2.638905612778126,10.843662115348522,0.11280200000000001,
08_14/15,8,28,2014-10-12 00:00:00,2014-11-08 00:00:00,190.1546904473773,108.6048730354001,9.161406999999999,2.408685203644885,11.045387651665926,0.127104,
09_14/15,9,28,2014-11-09 00:00:00,2014-12-06 00:00:00,195.6391849144768,111.15127790324237,9.189163,2.597320061875844,11.230388249414512,0.090387,
10_14/15,10,28,2014-12-07 00:00:00,2015-01-03 00:00:00,156.80424583120978,87.01990432925405,6.9209179999999995,2.0849203458411343,8.668505226524283,0.093527,
11_14/15,11,28,2015-01-04 00:00:00,2015-01-31 00:00:00,178.2268004211783,100.21046656904589,8.564776,2.437836606007831,11.35479263827087,0.074935,
12_14/15,12,28,2015-02-01 00:00:00,2015-02-28 00:00:00,176.29945516258425,105.71991848183711,9.025282136039973,2.4484654979402727,11.08739821281805,0.11531100000000001,
13_14/15,13,31,2015-03-01 00:00:00,2015-03-31 00:00:00,207.50993919344035,116.31038229330927,10.008506281127064,2.5363987707888165,12.624929392612856,0.071941,
01_15/16,1,26,2015-04-01 00:00:00,2015-05-02 00:00:00,203.39828939312818,113.61541591646449,10.239446,2.0852060000000003,13.323890535183878,0.163774,
02_15/16,2,28,2015-05-03 00:00:00,2015-05-30 00:00:00,180.45117537369595,102.02868339516895,8.907715131324977,2.0090689999999998,11.817183471116724,0.145261,
03_15/16,3,28,2015-05-31 00:00:00,2015-06-27 00:00:00,189.89253952534605,105.85226366837209,9.053334173242348,2.111567,14.681605730853764,0.12034,3.619042039481825
04_15/16,4,28,2015-06-28 00:00:00,2015-07-25 00:00:00,182.50994532177603,101.26964390214268,9.036094236908205,2.174068,14.869333216664508,0.146784,3.7745680282987766
05_15/16,5,28,2015-07-26 00:00:00,2015-08-22 00:00:00,162.29276492045358,94.6193468500896,8.900876849146773,1.846514,13.763911068275023,0.19261099999999998,3.6709334032068477
06_15/16,6,28,2015-08-23 00:00:00,2015-09-19 00:00:00,175.00266535103756,97.63890691003708,8.696843339200464,2.025645,13.939371478689598,0.123068,3.733603485668243
07_15/16,7,28,2015-09-20 00:00:00,2015-10-17 00:00:00,190.75672147697992,111.6690246559333,9.593599708726257,2.200561,15.651570729058063,0.118785,4.143011093763911
08_15/16,8,28,2015-10-18 00:00:00,2015-11-14 00:00:00,181.19993489245857,112.70431980977689,8.852735305575171,2.1663699999999997,15.538986429698355,0.139655,4.150729505119592
09_15/16,9,28,2015-11-15 00:00:00,2015-12-12 00:00:00,186.6151483646669,114.02810991586858,9.417986089623353,2.25369,15.753193066981694,0.052531,4.179697756742697
10_15/16,10,28,2015-12-13 00:00:00,2016-01-09 00:00:00,147.10392253025333,85.36130233197187,7.11907787990286,1.848881,11.313665623912211,0.08393,2.9647343656905183
11_15/16,11,28,2016-01-10 00:00:00,2016-02-06 00:00:00,179.50263613586304,106.83732672672888,9.256776651507936,2.133401628813397,15.391864685407084,0.0740649435,3.767157214148415
12_15/16,12,28,2016-02-07 00:00:00,2016-03-05 00:00:00,175.98046365105444,109.25142858775878,9.513108130222742,2.231009116774745,14.498893174299463,0.10891433749999999,3.234045687374915
13_15/16,13,31,2016-03-06 00:00:00,2016-03-31 00:00:00,159.43962431381968,94.4629319681029,8.36634639066788,1.901846841912678,12.615671505321668,0.077295,2.8292961832542356
01_16/17,1,30,2016-04-01 00:00:00,2016-04-30 00:00:00,189.26969456960023,114.15262646085247,10.37966587435991,2.39299089701831,15.645361907381997,0.140012,3.9983628604000008
02_16/17,2,28,2016-05-01 00:00:00,2016-05-28 00:00:00,181.87746804823382,105.71048522969951,9.535925714807679,2.3811510833119103,14.432777656008614,0.128865825,3.6941403641
03_16/17,3,28,2016-05-29 00:00:00,2016-06-25 00:00:00,173.6442849308555,104.2123533656883,9.206399288172918,2.309534151823196,13.777929090781582,0.112962,3.5088560932000004
04_16/17,4,28,2016-06-26 00:00:00,2016-07-23 00:00:00,177.69937922220998,109.05736899023762,9.374086282020698,2.4391348975792715,14.132025869540769,0.13242500000000001,3.80808569547
05_16/17,5,28,2016-07-24 00:00:00,2016-08-20 00:00:00,155.3214310139459,101.08293680069424,8.973565729219459,1.8130090568141966,13.742827981196914,0.182303,3.5888505281999996
06_16/17,6,28,2016-08-21 00:00:00,2016-09-17 00:00:00,166.3205143385785,98.75429932691668,8.755083128287557,2.2447579920982017,14.188520506564098,0.136297,3.4690320819000005
07_16/17,7,28,2016-09-18 00:00:00,2016-10-15 00:00:00,186.91840532700587,110.38812851347838,9.619824857011512,2.518967928491057,15.236702625942401,0.09988225000000002,3.7384892666100007
08_16/17,8,28,2016-10-16 00:00:00,2016-11-12 00:00:00,176.60246224075482,112.60881355308827,10.061233623230304,2.2198009387481417,15.43628028052763,0.118994,3.82684934772
09_16/17,9,28,2016-11-13 00:00:00,2016-12-10 00:00:00,182.65212733179484,116.66324778353152,10.052781350010962,2.1232965119824487,15.696995676732028,0.080307,4.011194419469999
10_16/17,10,28,2016-12-11 00:00:00,2017-01-07 00:00:00,145.75493562388235,89.01784608448223,7.558640289601535,2.084239861718364,11.982085187763454,0.092992,3.3249193929
11_16/17,11,28,2017-01-08 00:00:00,2017-02-04 00:00:00,174.43848180995002,101.891498737916,9.567922239435733,2.408324769903119,14.83998874388228,0.07872,3.76895239434
12_16/17,12,28,2017-02-05 00:00:00,2017-03-04 00:00:00,172.94339281407352,108.27207510043347,9.744193022376097,2.2069874783296517,14.61083659719719,0.108992,3.5867008919699988
13_16/17,13,27,2017-03-05 00:00:00,2017-03-31 00:00:00,178.36619999095902,106.03874521138228,9.473688795319635,2.388743190195444,15.06085133344386,0.06697665,3.4390867719600005
01_17/18,1,29,2017-04-01 00:00:00,2017-04-29 00:00:00,172.58806033323128,104.5549084666484,9.715748353625244,2.1334440051392467,14.721109991345369,0.1556929776470589,3.290075087099999
02_17/18,2,28,2017-04-30 00:00:00,2017-05-27 00:00:00,182.26392098442633,106.09631247561201,9.396461645569978,2.2597339149340283,14.83456338014923,0.11340199141152113,3.5164875151
03_17/18,3,28,2017-05-28 00:00:00,2017-06-24 00:00:00,175.77594589205958,101.6014999153149,9.162794810855406,2.2273331799479363,14.387615677525448,0.1131988498532761,3.3809078900000005
04_17/18,4,28,2017-06-25 00:00:00,2017-07-22 00:00:00,181.47745466884638,108.98646566008999,9.558797626039096,2.3669474794520293,14.989891341229326,0.129216,3.7089850519000005
05_17/18,5,28,2017-07-23 00:00:00,2017-08-19 00:00:00,155.10188451771205,101.04103769009643,9.154602405260379,2.0609281466189255,14.441328471031465,0.179892,3.4657548133000002
06_17/18,6,28,2017-08-20 00:00:00,2017-09-16 00:00:00,165.98847021455498,96.44990664967726,8.640984748273434,2.2078123588566845,14.548481115383588,0.12120399999999999,3.2957223973
